page_item,prod_product,how
Club sandwich gà / heo,CLUB SANDWICH GÀ,curated-variants
Canh cải thịt bằm,CANH CẢI THỊT BẰM,exact
Canh cua / tôm tập tàng,CANH CUA TẬP TÀNG + CANH TÔM TẬP TÀNG,curated-variants
Canh bí đao / khổ qua nhồi thịt,CANH BÍ ĐAO NẤU THỊT BẰM + CANH KHỔ QUA NHỒI THỊT,curated-variants
Canh gà lá giang,CANH GÀ LÁ GIANG,exact
Canh chua cá bông lau,CANH CHUA CÁ BÔNG LAU,exact
Canh cà đắng cá cơm,CANH CÀ ĐẮNG CÁ CƠM,exact
Canh sườn heo nấu đu đủ / măng,CANH SƯỜN HEO NẤU ĐU ĐỦ + CANH SƯỜN HEO NẤU MĂNG,curated-variants
Canh chua chả cá thác lác / mướp đắng rừng,CANH CÁ THÁC LÁC MĂNG CHUA + CANH CHẢ CÁ NẤU MƯỚP ĐẮNG,curated-variants
Canh chua cá lăng,CANH CHUA CÁ LĂNG,exact
Lẩu cá lăng nấu măng chua,LẨU CÁ LĂNG ĐỒNG NẤU MĂNG CHUA,fuzzy
Lẩu chả cá thác lác măng chua / mướp đắng,LẨU CÁ THÁC LÁC NẤU MƯỚP ĐẮNG + LẨU CÁ THÁC LÁC MƯỚP ĐẮNG RỪNG,curated-variants
Lẩu gà lá giang,LẨU GÀ LÁ GIANG/ LÁ É,contains
Chè chuối,CHÈ CHUỐI,exact
Chè hạt sen,CHÈ HẠT SEN LONG NHÃN,contains
Sữa chua trái cây theo mùa,SỮA CHUA,curated
Trái cây theo mùa,TRÁI CÂY THEO MÙA,exact
Bánh chuối nướng dùng kèm kem vani,BÁNH CHUỐI NƯỚNG DÙNG KÈM KEM VANILLA,contains
Kem sô cô la / vani,KEM SÔ CÔ LA + KEM VANI,curated-variants
